HTML,CSS,JS,REACTJS,NEXTJS,NODEJS,MONGODB,EXPRESSJS,FLASK,Development_Score
86,99,80,79,88,83,95,79,84,74
97,88,73,71,78,79,97,80,83,23
76,92,84,91,100,88,91,84,99,83
97,93,77,80,98,78,84,70,99,99
70,88,72,79,77,84,79,70,98,45
87,71,88,82,91,70,71,98,85,91
84,82,85,86,90,98,98,76,93,72
95,86,76,82,74,95,86,72,76,99
95,86,76,90,70,86,99,86,80,74
94,96,98,72,84,98,90,80,95,77
97,85,94,91,97,78,93,93,70,89
98,94,91,85,78,88,81,88,91,100
78,76,83,98,88,88,71,78,82,100
84,72,80,90,83,99,94,77,87,87
88,85,71,77,91,75,81,84,94,47
77,73,84,97,89,94,86,82,87,83
71,82,82,91,84,89,98,96,79,94
98,72,88,72,91,83,77,96,92,94
99,73,96,97,89,80,95,100,80,92
96,99,80,71,99,86,78,97,100,93
97,71,98,93,84,85,94,73,77,96
78,95,95,74,85,82,99,76,95,97
89,86,72,74,88,81,98,96,76,88
97,78,100,97,75,98,95,86,85,91
92,100,72,90,95,73,79,74,90,82
91,99,79,81,79,98,82,80,91,93
85,77,77,96,94,77,82,96,71,95
99,99,81,79,81,80,84,85,86,71
95,71,87,81,88,95,92,87,99,85
86,99,75,94,84,72,75,72,99,66
98,70,99,82,97,90,95,83,82,76
96,73,76,91,79,76,90,84,84,84
73,92,92,75,93,89,95,74,89,93
81,70,97,77,70,74,100,91,75,76
98,90,72,84,74,97,93,83,87,71
85,75,94,93,83,96,93,77,100,90
98,76,77,82,75,87,71,77,80,7
70,91,98,75,85,96,89,81,80,96
98,100,96,98,79,72,82,96,72,85
100,84,85,98,82,86,72,89,80,84
96,90,88,91,80,99,100,97,85,86
90,72,91,75,100,83,93,87,86,90
73,92,84,80,95,72,72,85,74,93
90,98,79,88,94,73,98,98,100,86
88,80,71,79,98,80,94,89,85,97
88,92,93,80,83,71,92,97,74,89
100,96,74,88,90,81,87,73,91,94
86,79,89,75,94,83,80,80,98,71
87,96,92,91,87,93,92,80,90,74
81,74,92,78,96,100,94,78,91,94
79,91,88,70,76,73,70,84,77,9
81,91,91,87,84,86,98,83,83,90
87,89,87,85,70,92,96,80,84,88
81,77,91,89,99,75,72,97,93,72
95,99,82,82,71,74,86,75,71,35
73,91,95,80,77,81,77,80,91,85
89,77,98,77,95,99,86,89,89,99
92,85,83,99,80,76,85,82,96,74
84,93,85,96,90,92,93,100,78,86
72,88,89,74,79,86,84,100,92,85
94,77,84,100,90,99,83,89,97,88
76,90,92,81,86,86,79,99,98,77
88,83,80,71,87,76,81,95,71,85
96,89,87,75,93,79,89,84,74,92
89,72,74,99,94,77,77,77,81,81
93,92,77,80,83,77,98,99,93,89
97,79,76,97,86,73,98,82,73,78
74,95,91,73,100,87,75,100,93,94
100,93,92,91,71,100,92,80,97,71
83,99,74,75,79,77,83,93,72,73
81,85,97,99,92,86,70,92,100,75
100,79,94,92,79,90,93,71,78,88
91,82,94,85,87,88,81,77,86,82
84,79,84,84,100,92,76,82,86,82
78,77,89,95,96,90,87,82,85,91
78,100,81,81,75,88,97,76,94,97
72,85,87,85,92,76,73,96,94,96
99,77,82,82,86,86,74,75,88,89
82,94,97,95,83,100,91,73,97,79
76,77,94,82,96,75,100,75,93,81
97,90,99,72,97,72,82,91,71,87
85,91,98,75,77,92,77,99,94,86
75,83,72,79,72,96,81,86,96,74
100,98,100,74,99,89,94,100,78,80
100,99,90,95,89,76,100,91,73,92
82,82,100,79,87,86,89,89,82,85
86,91,73,70,70,84,82,86,93,31
95,77,87,96,82,92,83,77,77,73
96,95,84,96,82,76,74,86,97,98
94,98,85,92,71,91,87,100,86,91
99,76,82,87,98,83,99,87,82,93
80,90,99,90,85,92,86,77,88,100
89,84,78,89,79,81,100,90,92,75
89,99,70,94,89,78,91,84,70,81
81,72,80,71,85,78,84,81,70,37
82,83,94,94,77,77,96,99,81,100
70,80,77,79,99,88,80,76,80,96
100,86,70,95,98,90,90,77,92,83
93,75,91,87,75,74,82,88,91,72
77,78,86,72,88,80,93,86,90,89
88,71,100,77,88,76,97,96,86,81
75,88,93,75,97,71,75,92,74,97
88,89,73,91,95,86,80,73,95,90
82,89,95,86,78,73,92,97,83,75
88,95,97,72,83,77,93,96,97,79
70,79,87,85,77,70,100,81,77,76
93,85,87,73,75,81,96,78,84,87
85,93,81,100,93,92,83,82,94,89
100,71,72,95,93,99,91,79,78,93
95,89,77,79,88,72,93,74,72,78
95,96,85,86,84,72,81,78,90,77
81,95,84,71,92,100,87,89,81,75
92,73,92,85,92,85,70,91,94,85
71,99,72,95,90,94,89,86,89,80
91,90,99,98,70,89,75,98,84,94
95,95,83,89,84,83,94,90,93,86
94,95,74,75,86,80,85,81,84,79
92,73,96,87,90,97,72,91,77,77
92,72,77,87,79,94,89,86,77,81
92,80,98,74,95,82,90,92,74,79
93,96,82,75,98,74,78,96,85,87
71,70,77,97,88,99,80,97,81,100
81,76,95,82,96,77,100,98,98,79
91,97,95,99,78,76,100,95,90,73
93,84,71,92,100,89,94,81,70,92
92,91,77,74,84,70,70,94,100,39
79,91,79,90,84,86,91,75,72,89
82,85,77,99,84,86,86,91,95,90
82,86,75,86,85,83,82,75,72,86
83,83,84,77,98,84,91,98,96,77
82,86,100,90,93,72,97,75,74,98
91,95,86,92,94,71,95,84,74,77
95,89,75,75,96,87,87,73,86,90
94,83,83,82,76,81,92,84,88,95
100,80,84,81,72,86,72,88,89,83
73,72,95,85,81,77,93,98,98,73
86,76,80,87,70,72,73,82,75,23
95,83,74,85,84,84,99,73,77,78
96,85,97,85,99,73,82,95,97,83
82,71,100,72,91,77,93,84,80,90
100,78,76,82,71,77,76,93,81,38
88,76,79,98,94,85,72,99,79,74
75,87,87,74,90,98,76,97,71,99
80,99,82,92,74,99,75,93,95,82
98,83,81,73,98,92,75,79,87,87
84,77,95,78,74,79,89,75,85,71
93,96,100,72,79,80,80,86,73,100
100,73,86,78,88,74,91,93,75,87
72,91,70,89,91,85,92,80,82,72
96,79,72,78,97,81,92,83,70,76
87,86,96,78,78,92,79,88,98,82
84,74,84,89,92,99,94,97,71,96
82,93,85,84,94,79,83,79,94,81
83,95,99,92,100,78,94,83,72,91
89,85,71,79,72,80,80,90,90,42
91,82,76,92,86,99,71,81,94,88
79,87,91,96,80,85,86,88,87,78
72,90,96,95,85,75,94,81,80,95
84,84,85,79,81,97,82,73,76,77
91,71,95,96,96,96,84,100,77,98
76,100,84,92,83,100,77,97,81,84
82,99,80,86,100,98,86,93,73,86
90,77,74,95,85,73,97,91,98,82
84,81,74,99,92,85,83,79,76,79
82,89,97,98,74,98,72,84,73,90
84,83,89,88,82,79,90,74,96,99
92,89,98,89,94,75,100,73,71,93
91,85,87,74,91,73,99,82,88,91
92,71,82,80,99,91,98,73,91,86
89,89,84,73,78,76,88,88,75,91
75,89,84,84,94,89,78,73,87,89
87,74,89,92,99,80,74,91,95,86
73,98,81,71,82,79,78,79,100,44
76,73,88,79,99,100,72,94,90,96
98,100,88,100,90,71,96,89,79,75
71,71,97,93,86,85,85,83,76,92
90,100,80,93,70,80,92,90,73,89
76,95,84,87,81,100,86,70,80,80
97,70,84,97,90,79,76,71,79,77
93,73,81,88,95,80,77,87,80,79
80,82,72,81,72,79,96,86,91,95
71,86,85,71,97,91,99,89,75,84
97,94,98,79,97,79,77,70,82,85
93,78,91,79,84,74,91,85,82,83
91,94,89,87,80,96,78,85,71,80
95,94,71,81,77,78,81,95,78,84
79,94,71,85,89,76,97,71,70,96
88,97,73,93,91,96,71,100,94,91
83,71,98,84,81,74,97,89,98,93
76,93,90,79,83,83,74,87,93,99
83,71,95,81,91,93,75,73,82,82
73,91,83,100,85,98,73,93,94,98
70,82,73,89,87,75,72,92,82,99
96,85,96,74,73,90,77,88,83,89
76,100,83,75,81,85,86,82,92,76
83,98,76,83,84,81,86,78,91,82
84,81,71,74,82,96,89,92,77,94
96,83,84,80,70,90,100,72,86,83
97,88,83,91,99,92,77,82,96,78
89,72,74,78,98,75,100,94,100,86
91,71,82,74,97,96,94,77,92,72
70,89,81,92,80,76,84,91,93,92
80,98,91,95,85,72,89,83,72,77
70,100,95,90,84,70,86,71,98,82
89,75,77,98,85,88,70,72,97,77
72,74,96,81,81,89,82,89,78,89
76,73,88,91,88,75,96,82,80,84
82,82,97,94,91,97,89,84,90,100
82,91,80,88,77,89,77,79,95,79
85,88,95,92,80,82,97,78,89,88
93,88,85,76,88,81,84,100,92,81
83,80,95,79,96,80,75,71,80,86
88,75,83,89,75,86,79,97,70,89
72,77,77,96,89,91,84,93,76,81
80,76,98,73,94,81,95,75,83,88
81,80,88,90,74,83,90,93,85,81
94,82,94,98,91,91,94,89,91,95
73,80,86,76,83,95,80,97,91,74
78,92,82,92,87,97,80,84,94,88
95,94,91,98,88,70,73,83,83,89
72,99,97,86,72,85,83,99,89,83
98,82,84,83,93,94,88,75,79,74
96,84,90,91,89,95,75,92,94,100
79,76,91,86,87,86,78,79,79,80
94,76,85,98,87,75,96,89,70,99
70,81,90,97,71,73,86,73,80,92
91,95,73,70,76,99,87,78,98,75
72,77,98,93,88,73,87,89,96,73
80,96,83,94,87,97,97,98,85,86
72,84,96,96,100,73,74,86,76,96
85,83,95,85,76,78,73,99,99,78
91,80,71,81,81,99,73,87,95,94
90,100,76,98,70,100,95,95,92,77
95,82,75,75,81,77,93,91,88,89
74,87,100,99,74,99,94,79,70,84
79,74,81,91,99,96,76,78,91,85
90,81,92,98,70,80,99,90,84,87
71,89,76,90,81,91,87,72,76,91
80,87,81,75,74,95,70,81,96,64
100,95,80,73,96,87,73,86,71,76
98,93,91,71,81,100,75,79,94,97
92,94,90,92,96,85,100,83,76,93
97,97,88,92,86,78,95,82,91,85
74,92,74,79,90,96,79,96,76,82
95,84,76,98,96,84,72,88,79,91
97,98,84,72,75,81,84,75,82,65
98,88,72,77,77,92,95,89,84,75
73,88,90,72,82,77,92,85,82,79
72,85,78,97,83,82,90,94,76,90
84,76,75,71,78,91,93,86,74,84
81,70,79,80,85,83,77,93,86,88
94,87,81,94,86,97,95,83,85,99
83,78,73,94,92,80,75,84,74,92
80,94,87,99,82,80,83,97,87,78
96,97,100,94,97,88,93,96,84,72
78,77,89,97,70,73,83,94,71,79
85,72,95,77,75,85,93,85,76,77
99,82,82,74,94,89,91,87,84,100
87,71,79,92,82,87,84,100,81,99
84,82,87,84,94,92,80,88,72,88
76,90,95,83,83,91,82,81,93,97
78,70,88,80,92,91,92,93,91,86
88,87,81,92,97,97,97,96,70,91
88,97,96,89,98,99,86,74,95,75
72,71,100,72,77,85,75,82,99,93
92,97,91,91,85,97,85,72,97,99
82,83,77,81,92,92,91,90,95,85
77,90,94,78,70,75,92,88,92,75
80,80,92,99,82,80,87,92,84,81
70,90,94,76,92,96,82,81,87,100
93,88,84,77,88,79,76,87,85,92
89,96,75,96,78,90,82,94,100,84
90,95,77,85,82,82,86,92,89,95
74,91,90,97,86,97,78,71,94,89
95,87,78,75,80,94,98,75,75,73
82,80,83,71,77,72,92,90,72,94
70,93,88,87,86,89,98,93,82,80
72,99,70,73,94,82,86,97,99,98
80,71,94,85,71,98,88,92,88,76
94,85,91,88,78,70,79,88,70,98
71,85,81,77,92,87,71,94,98,96
82,75,90,95,75,78,85,80,76,73
100,79,79,99,94,89,87,97,93,72
89,98,78,100,84,73,100,77,78,83
82,78,95,73,86,85,84,72,94,88
89,74,92,74,89,84,87,84,71,72
98,82,73,79,82,79,98,100,78,85
77,72,85,100,83,78,99,90,80,75
72,74,98,79,82,73,93,82,81,85
74,79,97,93,78,89,76,71,91,98
93,97,92,76,77,76,90,92,98,91
83,95,88,74,92,100,94,100,87,87
89,81,92,86,82,71,94,82,95,72
76,97,79,92,75,72,95,72,87,88
80,91,89,74,88,91,96,97,88,85
99,84,99,85,93,78,73,84,94,90
81,92,72,92,83,86,88,75,73,93
76,99,88,86,94,85,84,91,77,73
88,77,87,97,85,89,88,79,86,75
100,82,82,76,96,79,71,73,94,40
75,93,87,92,75,98,99,94,92,75
86,83,93,80,95,100,88,99,71,95
97,72,80,75,98,83,88,95,85,71
90,91,93,76,99,96,77,88,89,95
85,91,96,76,78,82,70,98,100,84
77,93,91,73,72,96,72,91,82,75
77,76,96,70,96,85,75,76,81,78
92,78,96,80,79,90,70,87,100,91
73,74,78,96,100,86,72,85,74,84
85,72,89,84,99,72,89,83,100,98
85,98,98,100,100,86,97,93,89,86
92,87,87,91,83,87,84,84,75,76
96,84,87,73,92,77,84,72,99,78
84,82,78,71,93,77,98,99,89,72
86,82,70,71,99,84,81,83,94,89
98,71,87,91,76,98,92,100,98,97
94,75,83,77,96,91,71,86,74,79
83,94,93,99,98,89,90,98,90,75
91,72,74,85,87,95,86,80,86,75
85,95,92,71,73,90,76,71,99,25
75,86,76,94,74,74,89,85,88,89
78,74,77,78,74,79,94,71,78,29
80,73,91,91,91,71,92,98,75,74
96,83,70,87,76,70,100,70,70,47
93,73,73,98,87,96,80,96,70,86
97,79,78,92,73,97,75,99,85,86
71,92,87,79,93,93,86,82,93,77
87,91,82,86,74,80,76,98,79,88
86,84,87,92,91,88,99,95,71,94
95,73,72,76,93,87,79,76,77,91
75,91,95,70,73,83,86,89,87,71
80,98,90,95,83,78,96,84,81,73
79,88,93,88,75,89,93,96,75,95
77,70,91,86,86,93,84,76,88,91
91,100,94,92,97,72,99,99,98,78
91,80,89,99,98,88,78,79,71,71
70,100,99,85,87,92,95,86,75,100
83,92,94,84,83,93,91,72,93,77
92,88,94,81,71,72,87,98,70,77
89,90,98,75,74,70,88,70,96,7
90,90,85,81,96,98,91,77,95,89
85,97,70,73,79,80,86,94,96,87
92,76,81,90,76,81,84,71,83,81
82,73,83,83,85,76,88,71,79,85
87,98,86,74,81,75,91,78,89,79
70,91,84,90,95,75,88,87,75,87
82,70,92,92,95,82,76,84,81,81
96,95,70,84,73,82,92,96,94,76
74,98,71,92,95,70,85,92,75,79
92,85,83,98,95,72,84,72,92,100
98,71,70,78,78,92,76,72,95,51
100,87,80,76,78,70,98,83,89,72
75,76,79,76,95,71,99,73,90,74
99,97,86,70,79,88,100,84,79,88
88,81,93,85,78,84,99,96,97,98
86,83,96,87,95,71,100,73,87,71
76,82,84,94,92,97,91,100,95,81
70,80,79,94,74,85,80,90,75,73
78,82,93,77,83,93,70,86,93,78
74,94,71,94,97,99,93,78,73,75
86,86,90,87,85,99,77,95,80,90
90,90,87,92,98,93,79,82,86,91
87,79,85,89,74,82,87,86,78,92
83,86,98,100,73,87,96,89,93,92
93,84,80,81,78,82,84,96,84,75
97,74,92,88,95,89,95,94,95,98
95,83,97,86,87,90,72,71,70,81
79,88,86,81,70,81,86,93,100,82
72,80,86,92,95,72,77,89,73,92
90,91,76,83,83,73,85,93,98,79
91,99,70,86,94,79,91,85,85,91
95,77,98,76,97,75,85,89,85,83
76,78,83,80,95,95,83,76,70,92
95,94,82,89,100,72,89,73,98,90
95,80,71,83,81,99,86,81,95,99
81,70,82,83,93,99,71,81,95,73
90,97,85,73,77,71,79,78,92,12
84,82,92,86,99,85,97,71,89,98
89,96,83,72,92,81,77,71,73,10
83,85,88,71,81,98,83,75,82,81
73,91,87,81,89,96,91,99,90,91
88,77,76,85,88,75,89,96,90,90
80,74,85,76,96,74,80,84,72,91
95,74,92,90,74,78,84,72,98,77
75,86,95,90,77,90,94,80,75,87
77,79,93,98,72,92,83,92,83,86
79,81,75,81,92,83,71,78,79,13
95,86,86,72,99,100,88,70,81,71
76,73,79,82,71,79,90,91,94,81
73,87,74,88,71,81,86,79,71,64
75,77,98,88,80,100,94,100,81,72
78,71,77,95,80,97,90,73,79,79
90,89,85,77,73,98,79,81,98,83
83,85,91,87,90,91,90,81,87,75
99,76,89,93,92,76,78,70,95,100
75,75,91,98,81,91,81,79,92,79
99,95,75,86,88,87,75,93,88,83
79,93,77,90,93,75,90,94,99,75
76,93,70,96,87,93,97,94,89,85
81,85,79,96,79,83,94,89,79,100
79,95,94,80,92,71,94,89,77,77
99,92,98,100,76,77,70,90,71,84
87,84,70,74,71,89,72,88,87,47
98,91,87,83,99,93,77,98,99,76
81,90,79,92,89,86,80,71,95,72
95,73,70,84,82,77,94,73,79,45
88,87,74,99,88,95,92,96,91,97
85,70,81,93,71,90,94,77,87,76
94,85,74,95,99,91,82,88,98,78
72,95,77,96,95,95,100,81,71,94
80,81,97,87,82,74,91,81,71,73
100,74,76,95,95,93,81,85,92,74
77,99,97,78,84,74,82,74,80,71
79,89,82,78,90,83,87,84,79,72
93,100,76,77,97,72,100,84,85,83
73,90,75,70,73,80,81,95,98,8
74,92,98,90,85,82,82,86,96,82
76,77,82,92,96,85,99,98,100,80
73,77,85,100,90,79,94,81,81,80
95,74,85,70,97,78,81,74,91,88
89,91,97,93,72,74,71,83,71,82
82,76,79,82,85,95,83,80,79,92
75,73,90,70,76,93,78,77,74,100
88,79,80,94,84,75,84,74,98,86
88,91,88,79,81,91,73,100,87,93
85,77,73,94,92,81,71,73,74,76
72,78,98,90,87,80,72,99,100,94
94,92,71,78,83,73,98,78,100,95
82,87,84,97,79,85,81,89,74,94
71,79,70,76,95,86,85,96,96,91
93,72,83,79,91,76,95,86,99,94
75,92,91,73,86,96,78,73,76,80
92,71,86,93,77,92,99,100,84,85
100,84,77,85,88,80,71,92,93,96
86,97,95,85,94,84,82,84,96,79
73,85,99,81,99,73,72,91,86,100
91,87,94,87,92,97,86,81,92,94
90,93,73,100,81,100,95,92,91,72
90,89,84,92,97,85,74,90,84,88
86,87,74,82,88,99,82,87,83,82
99,73,73,89,89,88,82,81,76,73
94,81,90,73,96,71,71,74,92,70
79,79,78,82,76,74,95,79,79,79
75,96,97,88,90,77,70,97,86,78
76,83,90,99,90,86,78,86,74,95
95,94,99,100,89,98,77,75,80,76
100,88,73,87,70,82,83,93,70,71
99,98,80,86,73,95,81,79,100,84
75,94,70,76,95,96,90,97,100,86
85,93,83,92,89,89,75,91,94,98
97,74,93,90,87,84,75,94,98,86
88,70,70,82,72,79,90,72,78,67
77,72,94,100,82,75,82,92,89,99
89,81,82,71,90,93,92,85,92,76
75,88,90,82,86,92,78,86,98,85
71,88,88,93,76,91,100,79,79,98
96,89,78,86,96,84,71,100,99,92
73,88,86,74,76,87,90,91,96,78
76,86,76,73,77,82,73,75,94,62
74,99,81,73,93,98,78,73,88,71
93,83,74,87,79,94,88,81,87,83
86,99,93,80,72,92,86,70,84,97
97,78,84,97,93,97,98,72,91,88
96,88,82,81,89,70,90,86,82,88
70,79,84,96,96,99,76,97,91,83
87,85,83,96,97,87,96,76,86,92
98,87,81,77,91,100,99,71,76,100
73,87,97,75,96,100,78,96,78,84
83,77,100,88,72,87,74,83,97,81
99,73,76,89,94,97,81,71,80,77
83,91,100,92,85,89,98,75,92,88
73,84,93,94,70,76,94,100,81,91
79,74,81,87,79,75,97,81,76,92
87,71,79,84,99,81,95,86,73,74
76,99,78,100,88,97,96,92,76,87
92,71,75,87,75,82,95,88,99,89
71,81,84,83,75,87,74,87,72,84
72,91,91,79,88,72,98,81,98,80
85,86,76,82,93,71,73,79,76,56
93,86,89,75,88,74,79,78,96,99
82,88,90,93,75,73,93,96,72,76
72,73,94,74,77,85,91,72,100,88
93,81,94,77,82,73,83,83,82,95
96,75,86,73,77,86,72,86,78,3
71,94,82,89,71,89,97,80,96,81
95,91,84,80,92,72,72,97,95,83
81,93,74,89,76,76,82,78,94,10
90,82,81,82,93,79,70,94,77,73
91,85,82,72,72,93,74,95,80,85
99,76,90,93,79,79,89,71,72,78
77,100,80,82,76,82,71,75,78,58
100,89,94,71,87,85,94,81,76,91
76,86,82,80,75,98,92,96,83,71
75,75,71,91,89,94,84,97,86,99
98,77,74,86,89,70,91,87,84,94
74,76,87,75,91,90,74,99,88,100
100,79,84,79,96,85,81,87,92,78
70,85,91,75,72,71,97,71,99,56
82,78,85,96,74,92,97,90,76,86
82,89,93,98,96,99,95,82,96,79
95,76,79,84,90,96,75,74,92,87
97,71,90,84,95,85,100,88,78,97
98,91,98,95,88,76,73,99,72,86
93,98,89,80,70,75,95,80,96,93
70,90,76,100,75,83,71,96,73,76
80,84,87,96,70,100,72,72,100,100
97,76,70,94,80,75,89,72,100,54
88,71,87,99,81,98,79,74,78,77
71,71,97,75,98,100,79,87,81,94
73,91,90,86,84,75,85,86,72,86
79,74,83,95,98,90,82,95,75,78
100,81,95,77,74,99,84,96,85,80
70,85,74,72,89,84,100,82,93,84
85,92,80,90,71,91,96,75,95,81
95,99,96,75,83,94,80,77,77,72
70,90,76,75,90,77,88,91,100,82
90,93,89,77,95,83,100,87,94,98
98,85,78,84,99,95,79,98,91,98
85,73,89,82,91,74,91,76,92,90
78,77,98,85,75,97,85,75,100,90
83,90,70,94,78,94,100,96,93,83
82,95,98,88,86,80,97,97,77,85
92,98,74,79,76,79,73,78,96,26
95,83,71,94,78,90,96,70,92,96
79,79,89,94,91,98,72,75,98,82
95,75,90,71,95,95,87,92,71,83
81,91,74,89,76,93,85,89,70,78
70,86,96,70,90,89,82,99,78,86
84,72,83,92,80,93,91,81,82,100
95,82,70,93,100,79,72,93,97,99
73,85,77,85,96,86,88,91,84,99
85,84,94,71,80,70,84,95,88,73
73,80,74,72,82,79,80,87,71,59
76,78,79,87,92,76,96,76,72,99
81,76,86,95,70,74,85,84,71,83
78,100,76,73,89,87,90,73,97,82
82,70,97,93,72,85,99,91,73,89
94,92,94,85,95,88,70,74,88,99
91,93,80,82,89,74,90,73,73,72
73,73,89,90,87,87,85,78,87,71
91,71,90,73,81,76,84,76,98,61
91,95,90,86,85,97,100,88,78,79
100,83,86,74,71,89,85,83,83,95
96,70,72,95,76,95,84,88,89,97
71,88,78,88,96,74,87,85,73,78
81,98,76,83,92,81,72,74,86,48
95,79,79,80,86,74,82,79,78,31
86,70,73,73,87,78,99,94,98,76
98,87,83,94,84,75,93,79,98,98
84,98,73,87,87,94,86,81,76,85
85,80,83,72,88,87,99,79,75,93
82,79,87,95,100,89,95,85,94,94
94,75,82,73,92,83,70,97,89,83
74,77,81,71,81,74,91,74,100,53
82,78,79,70,99,72,99,87,81,82
98,72,95,94,98,99,78,95,71,83
99,72,83,73,94,88,82,76,81,77
72,92,92,78,71,98,91,78,81,93
100,81,84,71,87,82,83,74,95,88
79,81,79,93,80,100,94,71,74,84
99,76,100,75,91,92,72,82,72,81
95,94,99,93,90,75,80,97,95,98
86,79,81,86,73,71,80,76,71,13
95,87,90,73,77,89,83,81,91,87
90,96,99,87,80,100,98,97,99,94
77,71,94,84,78,88,89,77,94,91
88,74,80,84,77,88,92,96,77,96
95,96,99,88,87,79,98,76,97,72
78,70,88,74,88,70,84,85,92,89
76,95,81,77,74,79,97,90,74,86
86,95,74,91,84,82,97,70,80,92
92,70,80,87,87,90,99,95,85,80
82,76,70,95,85,70,86,75,71,92
86,75,83,87,75,79,93,87,96,78
78,77,97,79,86,92,99,98,95,91
75,83,91,91,75,95,76,81,72,75
83,91,88,92,85,76,77,87,94,77
82,90,78,79,90,92,96,78,84,96
89,71,94,82,71,88,95,71,72,83
75,72,100,79,93,96,75,92,85,86
86,88,72,87,76,78,89,81,74,100
72,80,94,99,73,74,70,96,97,75
100,98,87,81,82,78,71,74,82,31
85,85,93,72,91,73,80,92,95,86
83,98,72,85,91,84,97,100,79,85
78,80,85,79,86,88,71,93,92,79
71,75,100,88,77,95,98,72,95,92
83,94,85,70,90,72,91,95,87,93
78,75,92,90,94,70,90,96,79,82
96,75,92,81,73,97,82,86,100,78
96,77,95,89,72,81,76,81,71,83
93,83,91,92,99,74,78,90,80,75
74,72,96,86,71,93,100,70,76,84
99,83,74,88,97,97,100,80,92,86
94,71,77,78,96,72,71,76,74,42
90,95,74,89,82,90,98,89,100,90
98,75,89,87,94,71,94,95,75,82
78,94,72,70,70,88,74,82,88,14
81,85,94,94,88,72,81,99,74,94
71,91,76,82,94,84,91,72,97,82
90,89,100,74,93,77,91,70,77,96
93,87,89,97,85,87,89,81,82,79
82,79,76,94,83,99,93,85,84,71
81,78,77,87,92,87,82,97,96,73
87,84,73,86,100,74,91,85,78,82
79,93,87,86,87,76,73,95,74,90
97,92,85,72,95,87,98,92,90,83
83,84,86,70,94,90,86,92,94,93
80,86,95,83,98,89,99,88,90,76
76,93,82,87,92,99,83,70,76,80
77,87,78,70,98,91,86,88,96,80
75,72,93,74,71,89,94,73,79,86
79,93,90,80,96,85,95,98,98,97
99,100,86,85,76,85,72,95,85,71
77,99,81,72,86,90,87,80,73,86
85,86,78,75,93,96,89,94,71,74
78,97,90,98,75,72,89,75,76,76
70,92,70,74,75,82,71,84,84,30
82,95,94,83,95,91,76,83,100,72
95,100,93,96,100,98,79,86,83,88
77,73,95,85,93,82,100,91,96,80
94,96,89,87,83,87,74,95,78,98
97,72,77,89,91,79,91,88,99,98
90,97,72,80,100,80,100,86,85,74
76,73,99,92,88,81,84,100,80,99
74,74,84,98,87,80,95,81,71,71
89,84,89,73,91,87,75,92,96,85
95,88,80,97,93,71,96,77,98,80
80,74,87,92,99,87,83,91,79,88
72,78,72,80,100,81,81,72,90,86
76,83,93,97,80,76,94,90,79,83
80,84,88,85,91,90,97,89,81,96
87,92,82,74,73,97,83,77,78,85
94,88,72,74,90,95,87,70,77,72
88,86,86,80,100,71,75,91,83,90
72,81,73,81,82,71,71,84,92,35
98,86,76,99,97,83,81,99,86,71
83,75,88,93,75,96,87,93,74,77
93,93,75,71,77,84,84,80,91,0
91,93,70,87,81,81,94,80,97,81
77,97,76,92,90,71,80,91,79,94
72,89,98,79,97,96,87,83,87,80
97,93,77,79,91,82,90,77,73,84
96,73,74,70,86,71,99,77,76,70
100,84,95,94,74,71,76,100,77,93
97,76,99,76,97,100,83,90,87,81
75,73,79,87,81,85,94,76,75,92
97,74,72,81,100,84,79,95,89,98
88,85,97,80,77,72,92,76,92,74
98,76,83,71,79,88,95,78,85,97
88,87,78,85,82,79,94,89,83,94
81,94,88,76,92,84,85,96,77,72
79,100,73,88,88,100,97,90,96,77
84,83,70,85,79,88,99,91,72,89
74,78,87,80,85,71,81,91,75,84
80,96,77,81,98,96,99,71,78,89
84,71,98,70,79,71,81,92,77,100
74,91,97,70,84,75,81,100,77,77
82,88,96,70,80,89,70,99,77,82
74,86,99,77,94,79,71,78,93,73
92,72,87,76,84,90,91,89,87,85
94,72,97,99,92,83,93,71,83,75
91,80,85,77,76,80,72,86,83,60
75,77,91,74,96,97,77,71,84,74
81,100,86,70,84,83,89,91,85,77
98,78,70,97,86,98,82,90,95,77
90,74,79,75,93,88,94,82,70,88
89,94,84,83,77,79,78,86,78,84
72,80,81,79,94,86,86,94,80,78
99,91,73,76,90,95,83,76,93,96
77,70,93,91,73,98,99,81,93,82
72,82,89,100,75,80,92,73,89,80
85,76,91,98,80,93,70,95,98,84
96,76,81,76,96,92,76,79,99,79
85,95,77,78,78,71,82,82,92,68
92,73,94,93,81,86,71,82,100,71
98,87,97,97,96,84,100,77,84,71
70,89,79,81,74,78,92,77,85,95
83,96,94,82,92,90,82,100,74,100
85,95,80,91,74,82,97,80,94,90
88,72,84,76,76,75,72,99,82,87
76,74,92,87,91,99,77,86,89,81
96,70,83,86,79,81,85,83,99,96
96,85,77,92,97,79,98,86,96,82
99,98,87,89,85,86,85,88,93,73
93,77,75,75,90,98,78,73,95,76
100,81,97,81,92,86,84,78,76,100
79,85,81,94,76,87,84,75,95,81
81,80,89,72,71,75,93,91,94,99
99,74,87,85,77,94,99,95,89,83
91,100,80,79,93,94,81,90,97,81
75,96,89,74,92,78,95,96,98,78
85,91,83,91,77,96,89,88,83,99
76,74,87,71,80,91,77,70,100,33
96,91,81,71,87,76,95,86,91,94
99,92,83,93,76,91,94,98,72,84
96,75,89,71,86,81,81,99,86,99
